HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457449.16290,2016-03-01.6654401,bd,1.59,15.156,11.884,0.012,67.653,0.723,V
2457449.16415,2016-03-01.6666949,bd,1.65,15.058,11.896,0.013,66.910,0.765,V
2457449.16540,2016-03-01.6679447,bd,1.83,15.002,11.890,0.013,67.321,0.809,V
2457450.15560,2016-03-02.6581313,bd,1.54,15.375,11.896,0.010,66.928,0.611,V
2457450.15686,2016-03-02.6593877,bd,1.50,15.402,11.885,0.010,67.600,0.583,V
2457450.15811,2016-03-02.6606379,bd,1.54,15.366,11.887,0.010,67.483,0.602,V
2457452.14855,2016-03-04.6510457,bd,1.50,15.455,11.883,0.009,67.699,0.546,V
2457452.14983,2016-03-04.6523310,bd,1.51,15.461,11.894,0.009,67.090,0.553,V
2457452.15108,2016-03-04.6535790,bd,1.47,15.437,11.876,0.009,68.120,0.554,V
2457455.14160,2016-03-07.6440468,bd,1.67,15.229,11.883,0.011,67.736,0.659,V
2457455.14285,2016-03-07.6452960,bd,1.67,15.161,11.885,0.012,67.556,0.701,V
2457455.14411,2016-03-07.6465504,bd,1.67,15.202,11.866,0.011,68.806,0.680,V
2457457.13826,2016-03-09.6406655,bd,1.59,15.069,11.887,0.013,67.445,0.769,V
2457457.13950,2016-03-09.6419050,bd,1.58,15.129,11.883,0.012,67.748,0.723,V
2457457.14074,2016-03-09.6431461,bd,1.60,14.986,11.888,0.014,67.421,0.829,V
2457457.16116,2016-03-09.6635611,bd,1.69,14.883,11.854,0.014,69.497,0.896,V
2457457.16206,2016-03-09.6644681,bd,1.64,14.861,11.889,0.015,67.380,0.928,V
2457457.16295,2016-03-09.6653606,bd,1.74,14.811,11.923,0.016,65.251,0.976,V
2457458.13466,2016-03-10.6370515,bd,1.60,15.455,11.876,0.009,68.158,0.561,V
2457458.13591,2016-03-10.6383003,bd,1.59,15.454,11.887,0.009,67.436,0.547,V
2457458.13717,2016-03-10.6395570,bd,1.52,15.454,11.889,0.009,67.304,0.560,V
2457465.12773,2016-03-17.6299571,bd,1.60,15.461,11.891,0.009,67.206,0.552,V
2457465.12899,2016-03-17.6312185,bd,1.57,15.480,11.894,0.009,67.021,0.538,V
2457465.13025,2016-03-17.6324745,bd,1.62,15.478,11.892,0.009,67.115,0.542,V
2457467.12565,2016-03-19.6278217,bd,1.56,15.227,11.883,0.011,67.761,0.672,V
2457467.12655,2016-03-19.6287238,bd,1.60,15.227,11.873,0.011,68.343,0.667,V
2457467.12746,2016-03-19.6296290,bd,1.55,15.248,11.911,0.011,66.020,0.666,V
2457470.11372,2016-03-22.6158067,bd,1.64,15.204,11.880,0.011,67.879,0.686,V
2457470.11496,2016-03-22.6170537,bd,1.64,15.135,11.900,0.012,66.616,0.716,V
2457470.11621,2016-03-22.6183052,bd,1.64,15.080,11.894,0.013,67.007,0.763,V
2457475.10376,2016-03-27.6056957,bd,1.63,15.372,11.884,0.010,67.624,0.589,V
2457475.10501,2016-03-27.6069498,bd,1.58,15.372,11.887,0.010,67.458,0.592,V
2457475.10628,2016-03-27.6082166,bd,1.64,15.357,11.898,0.010,66.835,0.597,V
2457481.10536,2016-04-02.6070969,bd,1.71,15.486,11.887,0.009,67.470,0.554,V
2457481.10661,2016-04-02.6083503,bd,1.79,15.446,11.915,0.009,65.787,0.568,V
2457481.10787,2016-04-02.6096076,bd,1.80,15.472,11.902,0.009,66.544,0.555,V
2457488.08060,2016-04-09.5820878,bd,1.58,15.464,11.893,0.009,67.092,0.546,V
2457488.08186,2016-04-09.5833388,bd,1.52,15.474,11.888,0.009,67.391,0.550,V
2457488.08311,2016-04-09.5845959,bd,1.55,15.463,11.893,0.009,67.109,0.557,V
2457494.06361,2016-04-15.5648576,bd,1.55,15.446,11.898,0.009,66.796,0.552,V
2457494.06486,2016-04-15.5661118,bd,1.64,15.473,11.911,0.009,65.993,0.548,V
2457494.06612,2016-04-15.5673627,bd,1.67,15.450,11.907,0.009,66.261,0.563,V
2457500.06952,2016-04-21.5705185,bd,1.49,15.342,11.891,0.010,67.253,0.613,V
2457500.07078,2016-04-21.5717831,bd,1.49,15.399,11.903,0.010,66.448,0.584,V
2457500.07204,2016-04-21.5730375,bd,1.43,15.342,11.889,0.010,67.306,0.614,V
2457506.03382,2016-04-27.5345560,bd,1.74,15.394,11.902,0.010,66.533,0.587,V
2457506.03507,2016-04-27.5358076,bd,1.70,15.397,11.898,0.010,66.789,0.592,V
2457508.04178,2016-04-29.5424244,bd,1.76,15.407,11.890,0.010,67.316,0.582,V
2457508.04303,2016-04-29.5436771,bd,1.89,15.403,11.881,0.009,67.850,0.582,V
2457508.04435,2016-04-29.5449983,bd,1.98,15.371,11.884,0.010,67.656,0.601,V
2457512.06598,2016-05-03.5664479,bd,1.58,15.492,11.891,0.009,67.194,0.539,V
2457512.06723,2016-05-03.5677005,bd,1.56,15.470,11.899,0.009,66.737,0.534,V
2457512.06849,2016-05-03.5689633,bd,1.55,15.486,11.900,0.009,66.693,0.547,V
2457523.96852,2016-05-15.4684425,bd,1.46,15.392,11.883,0.010,67.724,0.588,V
2457523.96977,2016-05-15.4696996,bd,1.65,15.399,11.891,0.010,67.252,0.582,V
2457523.97103,2016-05-15.4709516,bd,1.53,15.429,11.890,0.009,67.274,0.569,V
2457526.09811,2016-05-17.5979357,bd,1.53,15.486,11.890,0.009,67.278,0.554,V
2457526.09936,2016-05-17.5991837,bd,1.50,15.495,11.902,0.009,66.526,0.539,V
2457526.10062,2016-05-17.6004504,bd,1.50,15.479,11.883,0.009,67.668,0.549,V
2457528.95565,2016-05-20.4553504,bd,1.58,15.288,11.881,0.010,67.845,0.639,V
2457528.95690,2016-05-20.4565993,bd,1.49,15.260,11.907,0.011,66.254,0.652,V
2457528.95823,2016-05-20.4579241,bd,1.55,15.293,11.887,0.010,67.455,0.639,V
2457536.07584,2016-05-27.5752174,bd,1.51,15.442,11.902,0.009,66.518,0.558,V
