MJD,V-mag,SE,air.mass
58255.26692,11.5817,0.0037,2.161
58255.26738,11.5966,0.0037,2.153
58255.26786,11.5998,0.0038,2.144
58255.26832,11.6046,0.0039,2.136
58255.27556,11.5948,0.0039,2.019
58255.27603,11.5887,0.0038,2.012
58255.27650,11.5845,0.0038,2.004
58255.27698,11.5839,0.0038,1.997
58255.28421,11.5884,0.0038,1.895
58255.28469,11.6007,0.0038,1.889
58255.28516,11.5896,0.0037,1.883
58255.28564,11.5789,0.0035,1.877
58255.29286,11.5938,0.0033,1.788
58255.29334,11.5942,0.0031,1.782
58255.29382,11.5843,0.0029,1.777
58255.29428,11.5976,0.0027,1.772
58255.30149,11.5875,0.0025,1.694
58255.30197,11.5999,0.0024,1.689
58255.30244,11.5890,0.0023,1.684
58255.30292,11.5826,0.0024,1.679
58255.31014,11.5919,0.0027,1.611
58255.31061,11.5957,0.0030,1.606
58255.31108,11.5988,0.0032,1.602
58255.31155,11.5906,0.0033,1.598
58255.31875,11.6093,0.0034,1.537
58255.31922,11.5914,0.0034,1.534
58255.31970,11.5989,0.0033,1.530
58255.32016,11.5834,0.0032,1.526
58255.32737,11.5881,0.0030,1.472
58255.32785,11.5864,0.0027,1.469
58255.32832,11.5860,0.0024,1.465
58255.32881,11.5923,0.0021,1.462
58255.33603,11.5909,0.0018,1.414
58255.33650,11.5862,0.0015,1.411
58255.33698,11.5872,0.0013,1.408
58255.33748,11.5866,0.0012,1.405
58255.34465,11.5921,0.0011,1.362
58255.34513,11.5868,0.0011,1.360
58255.34560,11.5873,0.0011,1.357
58255.34606,11.5866,0.0011,1.354
58255.35326,11.5839,0.0011,1.316
58255.35374,11.5915,0.0011,1.314
58255.35421,11.5903,0.0012,1.311
58255.35469,11.5976,0.0012,1.309
58255.36192,11.5985,0.0013,1.275
58255.36240,11.5939,0.0014,1.272
58255.36287,11.5967,0.0016,1.270
58255.36336,11.5953,0.0017,1.268
58255.37058,11.5824,0.0018,1.238
58255.37105,11.5974,0.0019,1.236
58255.37154,11.5920,0.0019,1.234
58255.37201,11.5935,0.0020,1.232
58255.37924,11.5876,0.0020,1.205
58255.37971,11.5911,0.0021,1.203
58255.38019,11.5909,0.0021,1.201
58255.38067,11.5837,0.0020,1.200
58255.38789,11.5863,0.0020,1.175
58255.38837,11.5855,0.0019,1.174
58255.38884,11.5922,0.0018,1.172
58255.38932,11.5968,0.0017,1.171
58255.39652,11.5850,0.0016,1.149
58255.39700,11.5949,0.0016,1.148
58255.39748,11.5839,0.0015,1.147
58255.39794,11.5838,0.0014,1.145
58255.40517,11.5889,0.0014,1.126
58255.40566,11.5904,0.0015,1.125
58255.40613,11.5850,0.0015,1.124
58255.40661,11.5932,0.0016,1.123
58255.41382,11.5840,0.0017,1.106
58255.41429,11.5879,0.0017,1.105
58255.41477,11.5895,0.0018,1.104
58255.41524,11.5957,0.0018,1.103
58255.42252,11.5913,0.0019,1.088
58255.42300,11.5897,0.0019,1.087
58255.42348,11.5933,0.0019,1.086
58255.42396,11.5926,0.0019,1.086
58255.43116,11.5899,0.0019,1.073
58255.43162,11.5915,0.0020,1.072
58255.43211,11.5960,0.0020,1.072
58255.43258,11.5830,0.0020,1.071
58255.43979,11.5870,0.0021,1.060
58255.44027,11.5873,0.0021,1.060
58255.44074,11.5995,0.0022,1.059
58255.44122,11.5956,0.0022,1.058
58255.44841,11.5866,0.0023,1.050
58255.44890,11.5862,0.0023,1.049
58255.44937,11.5855,0.0023,1.048
58255.44985,11.5925,0.0023,1.048
58255.45706,11.5917,0.0022,1.041
58255.45753,11.5954,0.0022,1.041
58255.45801,11.5903,0.0021,1.040
58255.45848,11.5907,0.0021,1.040
58255.46568,11.5873,0.0020,1.034
58255.46616,11.5862,0.0020,1.034
58255.46663,11.5891,0.0021,1.034
58255.46709,11.5888,0.0021,1.033
58255.47431,11.5798,0.0022,1.030
58255.47478,11.6007,0.0022,1.030
58255.47525,11.5827,0.0023,1.029
58255.47573,11.5941,0.0024,1.029
58256.34850,11.5796,0.0032,1.327
58256.34897,11.5831,0.0032,1.324
58256.34946,11.5925,0.0032,1.322
58256.35669,11.6048,0.0031,1.286
58256.35716,11.5910,0.0033,1.284
58256.35764,11.5783,0.0035,1.282
58256.36487,11.5838,0.0036,1.250
58256.36536,11.6014,0.0036,1.248
58256.36583,11.5840,0.0036,1.246
58256.37307,11.5819,0.0034,1.217
58256.37354,11.5925,0.0033,1.215
58256.37400,11.6007,0.0031,1.214
58256.38123,11.5795,0.0028,1.188
58256.38170,11.5814,0.0026,1.187
58256.38218,11.5815,0.0024,1.185
58256.38940,11.5929,0.0021,1.162
58256.38986,11.5988,0.0019,1.161
58256.39034,11.5921,0.0017,1.159
58256.39753,11.5835,0.0016,1.139
58256.39802,11.5879,0.0015,1.138
58256.39850,11.5924,0.0014,1.136
58256.40569,11.5950,0.0014,1.118
58256.40617,11.5831,0.0014,1.117
58256.40663,11.5762,0.0014,1.116
58256.41385,11.5844,0.0014,1.100
58256.41433,11.5939,0.0015,1.099
58256.41480,11.5882,0.0016,1.098
58256.42203,11.5864,0.0018,1.084
58256.42250,11.5908,0.0019,1.083
58256.42296,11.5912,0.0020,1.082
58256.43015,11.5851,0.0020,1.070
58256.43064,11.5870,0.0021,1.070
58256.43110,11.5864,0.0022,1.069
58256.43830,11.5909,0.0022,1.059
58256.43877,11.5816,0.0022,1.058
58256.43926,11.5891,0.0022,1.057
58256.44647,11.5855,0.0021,1.049
58256.44694,11.5927,0.0021,1.048
58256.44742,11.5889,0.0020,1.048
58256.45463,11.5856,0.0020,1.041
58256.45510,11.5868,0.0021,1.040
58256.45558,11.5870,0.0024,1.040
58256.46277,11.5844,0.0027,1.034
58256.46373,11.5869,0.0031,1.034
58256.47093,11.5891,0.0035,1.030
58256.47141,11.5861,0.0038,1.030
58256.47189,11.5906,0.0041,1.030
58256.47913,11.5786,0.0042,1.027
58256.47961,11.5772,0.0043,1.027
58257.27086,11.5749,0.0043,2.007
58257.27133,11.5968,0.0039,2.000
58257.27181,11.5770,0.0034,1.993
58257.27902,11.5895,0.0030,1.892
58257.27949,11.5957,0.0026,1.886
58257.27997,11.5907,0.0022,1.880
58257.28716,11.5960,0.0019,1.791
58257.28764,11.5877,0.0017,1.785
58257.28811,11.5972,0.0017,1.780
58257.29531,11.5839,0.0018,1.701
58257.29578,11.5824,0.0020,1.696
58257.29625,11.5894,0.0022,1.692
58257.30348,11.6017,0.0025,1.622
58257.30396,11.5980,0.0027,1.617
58257.30443,11.5908,0.0029,1.613
58257.31166,11.5929,0.0032,1.551
58257.31214,11.5845,0.0033,1.547
58257.31260,11.5873,0.0035,1.543
58257.31986,11.5894,0.0036,1.487
58257.32034,11.5831,0.0037,1.484
58257.32081,11.5943,0.0038,1.480
58257.32801,11.5882,0.0038,1.430
58257.32848,11.5924,0.0038,1.427
58257.32897,11.5953,0.0038,1.424
58257.33625,11.5928,0.0038,1.379
58257.33672,11.5925,0.0038,1.376
58257.33720,11.5904,0.0038,1.374
58257.34442,11.5865,0.0038,1.334
58257.34490,11.5828,0.0037,1.331
58257.34536,11.5973,0.0036,1.329
58257.35258,11.5856,0.0035,1.293
58257.35306,11.5886,0.0034,1.290
58257.35353,11.5874,0.0032,1.288
58257.36078,11.5868,0.0031,1.256
58257.36125,11.5905,0.0029,1.254
58257.36174,11.5888,0.0027,1.252
58257.36892,11.5867,0.0026,1.223
58257.36940,11.5820,0.0026,1.221
58257.36988,11.5825,0.0025,1.219
58257.37711,11.5822,0.0025,1.193
58257.37758,11.5945,0.0025,1.191
58257.37806,11.5897,0.0024,1.190
58257.38524,11.5866,0.0024,1.166
58257.38572,11.5879,0.0023,1.165
58257.38618,11.5936,0.0023,1.164
58257.39341,11.5814,0.0018,1.143
58257.39389,11.5914,0.0017,1.141
58257.40159,11.5824,0.0016,1.122
58257.40206,11.5922,0.0016,1.120
58257.40253,11.5939,0.0021,1.119
58257.40975,11.5945,0.0021,1.103
58257.41022,11.5926,0.0023,1.102
58257.41068,11.5926,0.0024,1.101
58257.41796,11.5848,0.0024,1.087
58257.41843,11.5815,0.0025,1.086
58257.41890,11.5859,0.0026,1.085
58257.42610,11.5881,0.0026,1.072
58257.42660,11.5845,0.0027,1.072
58257.42707,11.5883,0.0027,1.071
58257.43428,11.5873,0.0027,1.060
58257.43476,11.5918,0.0026,1.060
58257.43522,11.5951,0.0025,1.059
58257.44241,11.5855,0.0025,1.050
58257.44288,11.5876,0.0024,1.050
58257.44336,11.5883,0.0023,1.049
58257.45058,11.5846,0.0022,1.042
58257.45105,11.5837,0.0021,1.041
58257.45153,11.5925,0.0020,1.041
58257.45874,11.5942,0.0020,1.035
58257.45921,11.5916,0.0020,1.035
58257.45969,11.5898,0.0020,1.035
58257.46689,11.5943,0.0022,1.031
58257.46736,11.5891,0.0024,1.030
58257.46784,11.5942,0.0027,1.030
58257.47502,11.5870,0.0030,1.028
58257.47550,11.5890,0.0033,1.028
58257.47597,11.5888,0.0034,1.027
58257.48318,11.5936,0.0035,1.026
58257.48367,11.5850,0.0036,1.026
58258.27270,11.5908,0.0025,1.941
58258.27317,11.5941,0.0024,1.934
58258.27365,11.5878,0.0023,1.928
58258.28086,11.5955,0.0023,1.834
58258.28133,11.5904,0.0023,1.828
58258.28181,11.5905,0.0023,1.822
58258.28900,11.5837,0.0024,1.739
58258.28948,11.5874,0.0025,1.734
58258.28995,11.5982,0.0025,1.729
58258.29716,11.5936,0.0026,1.655
58258.29764,11.5952,0.0027,1.651
58258.29810,11.5953,0.0027,1.646
58258.30531,11.5946,0.0028,1.581
58258.30580,11.5810,0.0028,1.577
58258.30626,11.5852,0.0028,1.573
58258.31345,11.5926,0.0029,1.515
58258.31394,11.5902,0.0029,1.511
58258.31440,11.5897,0.0029,1.507
58258.32162,11.5876,0.0030,1.455
58258.32209,11.5866,0.0030,1.452
58258.32257,11.5925,0.0030,1.449
58258.32979,11.5883,0.0031,1.402
58258.33027,11.5966,0.0031,1.399
58258.33074,11.5810,0.0031,1.396
58258.33796,11.5849,0.0030,1.354
58258.33844,11.5794,0.0030,1.351
58258.33891,11.5908,0.0029,1.349
58258.34611,11.5845,0.0027,1.311
58258.34657,11.5885,0.0026,1.309
58258.34705,11.5876,0.0024,1.306
58258.35432,11.5889,0.0023,1.272
58258.35479,11.5890,0.0021,1.270
58258.35527,11.5962,0.0019,1.268
58258.36253,11.5832,0.0018,1.237
58258.36301,11.5914,0.0018,1.235
58258.36348,11.5785,0.0018,1.233
58258.37072,11.5900,0.0018,1.206
58258.37119,11.5831,0.0019,1.204
58258.37168,11.5852,0.0020,1.202
58258.37884,11.5910,0.0021,1.178
58258.37932,11.5872,0.0022,1.176
58258.37978,11.5770,0.0022,1.175
58258.38701,11.5909,0.0022,1.153
58258.38749,11.5817,0.0023,1.152
58258.38796,11.5802,0.0023,1.150
58258.39519,11.5862,0.0023,1.131
58258.39566,11.5844,0.0022,1.130
58258.39615,11.5918,0.0022,1.128
58258.40339,11.5873,0.0022,1.111
58258.40387,11.5830,0.0021,1.110
58258.40434,11.5845,0.0020,1.109
58258.41155,11.5881,0.0020,1.094
58258.41203,11.5871,0.0020,1.093
58258.41250,11.5918,0.0019,1.092
58258.41970,11.5808,0.0019,1.078
58258.42017,11.5923,0.0019,1.078
58258.42066,11.5900,0.0019,1.077
58258.42785,11.5868,0.0019,1.065
58258.42831,11.5777,0.0020,1.065
58258.42878,11.5905,0.0020,1.064
58258.43597,11.5944,0.0021,1.055
58258.43644,11.5883,0.0022,1.054
58258.43692,11.5892,0.0022,1.053
58258.44414,11.5837,0.0023,1.045
58258.44462,11.5836,0.0023,1.045
58258.44508,11.5910,0.0024,1.044
58258.45226,11.5908,0.0025,1.038
58258.45274,11.5888,0.0026,1.038
58258.45321,11.5936,0.0027,1.037
58258.46042,11.5880,0.0028,1.033
58258.46089,11.5900,0.0029,1.032
58258.46137,11.5911,0.0029,1.032
58258.46858,11.5832,0.0029,1.029
58258.46905,11.5950,0.0029,1.029
58258.46955,11.5874,0.0028,1.028
58259.26950,11.5771,0.0029,1.947
58259.26998,11.5936,0.0028,1.941
58259.27045,11.5880,0.0028,1.934
58259.27766,11.5838,0.0028,1.839
58259.27814,11.5938,0.0029,1.833
58259.27860,11.5880,0.0030,1.828
58259.28580,11.5878,0.0032,1.744
58259.28627,11.5852,0.0033,1.739
58259.28674,11.5928,0.0034,1.734
58259.29395,11.5872,0.0035,1.660
58259.29442,11.5933,0.0036,1.656
58259.29490,11.5983,0.0036,1.651
58259.30212,11.5961,0.0036,1.585
58259.30259,11.5959,0.0035,1.581
58259.30307,11.5769,0.0034,1.577
58259.31025,11.5803,0.0032,1.518
58259.31073,11.5982,0.0031,1.515
58259.31120,11.5950,0.0030,1.511
58259.31844,11.5783,0.0029,1.458
58259.31891,11.5936,0.0029,1.455
58259.31939,11.5855,0.0028,1.452
58259.32659,11.5796,0.0028,1.405
58259.32706,11.5934,0.0029,1.402
58259.32755,11.5944,0.0029,1.399
58259.33476,11.5881,0.0031,1.356
58259.33523,11.5886,0.0032,1.354
58259.33569,11.5836,0.0033,1.351
58259.35243,11.5852,0.0034,1.268
58259.35291,11.6008,0.0035,1.266
58259.35339,11.5909,0.0035,1.264
58259.36058,11.5878,0.0035,1.234
58259.36105,11.5846,0.0035,1.232
58259.36153,11.5900,0.0034,1.230
58259.36876,11.5828,0.0033,1.203
58259.36924,11.5948,0.0031,1.201
58259.36971,11.5839,0.0030,1.200
58259.37696,11.5930,0.0027,1.175
58259.37743,11.5939,0.0025,1.174
58259.37791,11.5862,0.0024,1.172
58259.38509,11.5874,0.0022,1.151
58259.38557,11.5936,0.0020,1.149
58259.38604,11.5851,0.0018,1.148
58259.39325,11.5871,0.0017,1.129
58259.39373,11.5858,0.0016,1.127
58259.39420,11.5886,0.0016,1.126
58259.40139,11.5947,0.0017,1.109
58259.40186,11.5865,0.0017,1.108
58259.40234,11.5939,0.0018,1.107
58259.40956,11.5934,0.0019,1.092
58259.41003,11.5857,0.0020,1.091
58259.41051,11.5973,0.0021,1.090
58259.41772,11.5906,0.0022,1.077
58259.41819,11.5794,0.0022,1.076
58259.41867,11.5872,0.0023,1.076
58259.42587,11.5854,0.0023,1.064
58259.42634,11.5904,0.0023,1.064
58259.42682,11.5875,0.0022,1.063
58259.43405,11.5876,0.0022,1.054
58259.43453,11.5904,0.0021,1.053
58259.43500,11.5835,0.0021,1.052
58259.44221,11.5924,0.0021,1.045
58259.44269,11.5921,0.0021,1.044
58259.44316,11.5862,0.0021,1.044
58259.45036,11.5972,0.0021,1.037
58259.45083,11.5867,0.0022,1.037
58259.45131,11.5925,0.0023,1.037
58259.45848,11.5911,0.0024,1.032
58259.45898,11.5917,0.0025,1.032
58259.45947,11.5900,0.0026,1.032
58259.46669,11.5831,0.0027,1.029
58259.46716,11.5851,0.0027,1.028
58259.46765,11.5943,0.0027,1.028
58259.47485,11.5879,0.0027,1.027
58259.47532,11.5984,0.0026,1.027
