HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458559.68260,2019-03-17.1823511,bt,1.53,10.954,2.537,0.003,351054.499,996.439,g
2458559.68382,2019-03-17.1835642,bt,1.51,10.960,2.545,0.003,348300.920,939.833,g
2458559.68504,2019-03-17.1847790,bt,1.51,10.936,2.499,0.003,363361.269,1068.377,g
2458561.67614,2019-03-19.1760809,bt,1.51,10.948,2.562,0.004,343116.895,1175.305,g
2458561.67737,2019-03-19.1773079,bt,1.49,10.974,2.599,0.003,331530.082,1052.875,g
2458561.67859,2019-03-19.1785240,bt,1.49,11.066,2.810,0.004,272829.603,1057.392,g
2458562.67877,2019-03-20.1787964,bt,1.61,10.959,2.569,0.004,340607.721,1139.147,g
2458562.67998,2019-03-20.1800072,bt,1.62,10.930,2.505,0.003,361501.525,1115.458,g
2458562.68120,2019-03-20.1812262,bt,1.56,10.946,2.541,0.003,349634.872,1069.976,g
2458564.57164,2019-03-22.0718427,bl,1.43,11.312,3.146,0.004,200275.227,649.638,g
2458564.57284,2019-03-22.0730583,bl,1.44,11.318,3.136,0.004,202081.405,682.699,g
2458564.57407,2019-03-22.0742797,bl,1.45,11.296,3.101,0.004,208668.862,731.687,g
2458565.66801,2019-03-23.1683270,bt,1.46,10.124,2.148,0.005,502513.842,2511.959,g
2458565.66924,2019-03-23.1695532,bt,1.62,10.169,2.189,0.005,483484.562,2209.547,g
2458565.67046,2019-03-23.1707700,bt,1.56,10.259,2.197,0.006,479934.576,2765.456,g
2458566.56667,2019-03-24.0670722,bl,1.53,13.439,8.434,0.004,1535.532,5.551,g
2458566.56791,2019-03-24.0683015,bl,1.49,13.389,8.427,0.003,1545.967,4.700,g
2458566.56913,2019-03-24.0695298,bl,1.52,13.188,8.479,0.004,1473.074,5.198,g
2458567.56140,2019-03-25.0618996,bl,1.44,13.346,8.474,0.004,1481.487,5.373,g
2458567.56262,2019-03-25.0631163,bl,1.46,13.235,8.461,0.004,1498.352,5.671,g
2458567.56384,2019-03-25.0643343,bl,1.40,13.418,8.433,0.004,1538.060,5.178,g
2458570.75047,2019-03-28.2512686,bD,2.04,10.911,2.018,0.003,566082.793,1466.027,g
2458570.75175,2019-03-28.2525456,bD,2.03,10.909,2.009,0.003,570433.104,1418.024,g
2458570.75302,2019-03-28.2538192,bD,2.02,10.906,2.011,0.003,569836.734,1451.132,g
2458571.53180,2019-03-29.0326658,bl,1.50,10.615,5.734,0.016,18460.148,268.983,g
2458571.53301,2019-03-29.0338835,bl,1.54,10.724,5.682,0.032,19360.208,567.014,g
2458572.50470,2019-03-30.0056653,bl,1.63,9.890,7.432,0.027,3868.096,93.112,g
2458572.50592,2019-03-30.0068832,bl,1.62,9.155,6.877,0.030,6447.168,174.565,g
2458572.50713,2019-03-30.0080952,bl,1.70,10.429,7.025,0.012,5624.280,61.693,g
2458573.73155,2019-03-31.2326267,bD,2.42,11.272,3.050,0.025,218640.979,4954.265,g
2458575.63799,2019-04-02.1392543,bt,1.47,10.889,2.454,0.002,379019.379,870.109,g
2458575.63922,2019-04-02.1404759,bt,1.46,10.890,2.473,0.003,372447.549,1122.640,g
2458575.64042,2019-04-02.1416878,bt,1.45,10.916,2.502,0.003,362283.892,997.841,g
2458577.52252,2019-04-04.0239537,bl,1.55,13.506,8.375,0.004,1623.200,5.940,g
2458577.52373,2019-04-04.0251692,bl,1.71,13.181,8.377,0.005,1618.573,6.702,g
2458577.52495,2019-04-04.0263907,bl,1.65,13.308,8.360,0.004,1644.981,6.297,g
2458579.73119,2019-04-06.2328296,bD,1.99,10.995,2.114,0.003,518141.418,1389.357,g
2458582.59675,2019-04-09.0986421,bt,1.60,10.945,2.524,0.003,355177.916,952.586,g
2458582.59795,2019-04-09.0998533,bt,1.62,10.905,2.444,0.003,382090.941,977.885,g
2458582.59917,2019-04-09.1010703,bt,1.65,10.895,2.433,0.003,386059.123,1201.787,g
