Time,n_flux
120.53829,0.99982417
120.55872,0.99977096
120.57916,0.99975680
120.59959,0.99992417
120.62003,0.99997107
120.64046,1.0000314
120.66090,0.99997572
120.68133,1.0000548
120.70177,0.99984667
120.72220,0.99977465
120.74263,0.99982382
120.76307,0.99990048
120.78350,1.0000254
120.80394,1.0001786
120.82437,0.99999595
120.84481,1.0000358
120.86524,0.99996393
120.88568,1.0000305
120.90611,1.0000798
120.92654,1.0000055
120.94698,0.99990238
120.96741,1.0000268
120.98785,0.99988727
121.00828,0.99997333
121.02872,0.99983346
121.04915,0.99999940
121.06959,0.99995905
121.09002,0.99996595
121.11046,0.99990167
121.13089,0.99989905
121.15132,0.99996798
121.17176,1.0000030
121.19219,1.0001027
121.21263,1.0000474
121.23306,0.99999952
121.25350,1.0000352
121.27393,1.0001154
121.29437,1.0000775
121.31480,0.99998000
121.33523,0.99984810
121.35567,0.99982572
121.37610,0.99980286
121.39654,1.0000057
121.41697,0.99988036
121.43741,1.0000170
121.45784,0.99999607
121.47828,1.0000039
121.49871,1.0000483
121.51914,1.0000863
121.53958,1.0001450
121.56001,1.0001813
121.58045,1.0004822
121.60088,1.0003122
121.62132,1.0000435
121.64175,0.99988191
121.66219,1.0001109
121.68262,1.0000858
121.70306,0.99997060
121.72349,0.99996488
121.74392,1.0000963
121.76436,0.99990762
121.78479,1.0001037
121.80523,1.0001115
121.82566,1.0000704
121.84610,1.0000092
121.86653,0.99995155
121.88697,0.99997310
121.90740,0.99989262
121.92783,1.0000410
121.94827,0.99990072
121.96870,0.99999714
121.98914,0.99984810
122.00957,1.0000354
122.03001,0.99987358
122.05044,0.99996976
122.07088,1.0000538
122.09131,0.99998726
122.11175,1.0000007
122.13218,0.99986524
122.15261,0.99993905
122.17305,0.99987846
122.19348,0.99987834
122.21392,0.99976168
122.23435,0.99983417
122.25479,0.99984298
122.27522,0.99977668
122.29566,0.99997012
122.31609,0.99991798
122.33652,0.99982774
122.35696,0.99994750
122.37739,0.99981453
122.39783,1.0000330
122.41826,1.0001049
122.43870,1.0001643
122.45913,1.0001386
122.47957,1.0001023
122.50000,1.0001832
122.52044,0.99992917
122.54087,1.0001817
122.56130,0.99997762
122.58174,1.0000592
122.60217,0.99999595
122.62261,1.0001619
122.64304,1.0001180
122.66348,1.0000420
122.68391,1.0001990
122.70435,1.0002058
122.72478,1.0002731
122.74521,1.0000496
122.76565,1.0000619
122.78608,1.0001037
122.80652,0.99999536
122.82695,1.0001120
122.84739,1.0002387
122.86782,1.0001615
122.88826,1.0001789
122.90869,1.0002155
122.92913,1.0001858
122.94956,1.0000114
122.96999,1.0001394
122.99043,1.0000824
123.01086,0.99995738
123.03130,1.0000085
