Num,Label,JD.2400000,rel_flux_T1_n
1,ogg0m404-kb82-20190321-0257-e91.fits,58565.118287,1.015648
2,ogg0m404-kb82-20190321-0258-e91.fits,58565.119021,1.003112
3,ogg0m404-kb82-20190321-0259-e91.fits,58565.119751,1.003869
4,ogg0m404-kb82-20190321-0260-e91.fits,58565.120483,1.004061
5,ogg0m404-kb82-20190321-0261-e91.fits,58565.121240,0.998506
6,ogg0m404-kb82-20190321-0262-e91.fits,58565.121971,1.000345
7,ogg0m404-kb82-20190321-0263-e91.fits,58565.122702,0.998662
8,ogg0m404-kb82-20190321-0264-e91.fits,58565.123433,0.992523
9,ogg0m404-kb82-20190321-0265-e91.fits,58565.124162,0.999202
10,ogg0m404-kb82-20190321-0266-e91.fits,58565.124893,0.997347
11,ogg0m404-kb82-20190413-0168-e91.fits,58588.128957,0.995581
12,ogg0m404-kb82-20190413-0169-e91.fits,58588.129688,1.002664
13,ogg0m404-kb82-20190413-0170-e91.fits,58588.130417,0.991262
14,ogg0m404-kb82-20190413-0171-e91.fits,58588.131150,0.993058
15,ogg0m404-kb82-20190413-0172-e91.fits,58588.131881,0.999531
16,ogg0m404-kb82-20190413-0173-e91.fits,58588.132615,0.997824
17,ogg0m404-kb82-20190413-0174-e91.fits,58588.133346,1.004841
18,ogg0m404-kb82-20190413-0175-e91.fits,58588.134078,1.003542
19,ogg0m404-kb82-20190413-0176-e91.fits,58588.134843,1.000881
20,ogg0m404-kb82-20190413-0177-e91.fits,58588.135581,1.001174
