Num,Label,JD.2400000,rel_flux_T1_n
1,tfn0m410-kb23-20190304-0319-e91.fits,58547.759531,1.003016
2,tfn0m410-kb23-20190304-0320-e91.fits,58547.760276,0.996743
3,tfn0m410-kb23-20190304-0321-e91.fits,58547.761022,1.006802
4,tfn0m410-kb23-20190304-0322-e91.fits,58547.761767,1.002766
5,tfn0m410-kb23-20190304-0323-e91.fits,58547.762512,1.002217
6,tfn0m410-kb23-20190304-0324-e91.fits,58547.763264,0.999964
7,tfn0m410-kb23-20190304-0325-e91.fits,58547.764018,1.003659
8,tfn0m410-kb23-20190304-0326-e91.fits,58547.764762,1.001174
9,tfn0m410-kb23-20190304-0327-e91.fits,58547.765508,0.993039
10,tfn0m410-kb23-20190304-0328-e91.fits,58547.766254,1.006435
11,tfn0m410-kb23-20190408-0188-e91.fits,58582.653633,1.000299
12,tfn0m410-kb23-20190408-0189-e91.fits,58582.654379,1.001385
13,tfn0m410-kb23-20190408-0190-e91.fits,58582.655130,1.000858
14,tfn0m410-kb23-20190408-0191-e91.fits,58582.655874,1.001465
15,tfn0m410-kb23-20190408-0192-e91.fits,58582.656618,0.991897
16,tfn0m410-kb23-20190408-0193-e91.fits,58582.657362,0.999986
17,tfn0m410-kb23-20190408-0194-e91.fits,58582.658108,1.002181
18,tfn0m410-kb23-20190408-0195-e91.fits,58582.658865,0.995291
19,tfn0m410-kb23-20190408-0196-e91.fits,58582.659609,1.002863
20,tfn0m410-kb23-20190408-0197-e91.fits,58582.660353,0.995199
21,tfn0m410-kb23-20190520-0439-e91.fits,58624.592997,1.005256
22,tfn0m410-kb23-20190520-0440-e91.fits,58624.593748,1.013672
23,tfn0m410-kb23-20190520-0441-e91.fits,58624.594513,1.016206
24,tfn0m410-kb23-20190520-0442-e91.fits,58624.595264,1.024223
25,tfn0m410-kb23-20190520-0443-e91.fits,58624.596014,1.013814
26,tfn0m410-kb23-20190520-0444-e91.fits,58624.596801,1.015964
27,tfn0m410-kb23-20190520-0445-e91.fits,58624.597553,1.012027
28,tfn0m410-kb23-20190520-0446-e91.fits,58624.598308,1.009348
29,tfn0m410-kb23-20190520-0447-e91.fits,58624.599065,1.010245
30,tfn0m410-kb23-20190520-0448-e91.fits,58624.599815,1.006914
31,tfn0m410-kb23-20190610-0291-e91.fits,58645.571224,0.993896
32,tfn0m410-kb23-20190610-0292-e91.fits,58645.572004,0.993890
33,tfn0m410-kb23-20190610-0293-e91.fits,58645.572750,0.999534
34,tfn0m410-kb23-20190610-0294-e91.fits,58645.573494,1.001957
35,tfn0m410-kb23-20190610-0295-e91.fits,58645.574236,0.993820
36,tfn0m410-kb23-20190610-0296-e91.fits,58645.574983,0.997526
37,tfn0m410-kb23-20190610-0297-e91.fits,58645.575729,0.999410
38,tfn0m410-kb23-20190610-0298-e91.fits,58645.576478,1.000644
39,tfn0m410-kb23-20190610-0299-e91.fits,58645.577222,1.010171
40,tfn0m410-kb23-20190610-0300-e91.fits,58645.577969,1.004021
41,tfn0m410-kb23-20190617-0112-e91.fits,58652.457045,1.010125
42,tfn0m410-kb23-20190617-0113-e91.fits,58652.457795,1.016985
43,tfn0m410-kb23-20190617-0114-e91.fits,58652.458544,1.001357
44,tfn0m410-kb23-20190617-0115-e91.fits,58652.459296,1.002858
45,tfn0m410-kb23-20190617-0116-e91.fits,58652.460043,1.005321
46,tfn0m410-kb23-20190617-0117-e91.fits,58652.460791,1.004074
47,tfn0m410-kb23-20190617-0118-e91.fits,58652.461536,1.004593
48,tfn0m410-kb23-20190617-0119-e91.fits,58652.462285,1.002176
49,tfn0m410-kb23-20190617-0120-e91.fits,58652.463061,1.004156
50,tfn0m410-kb23-20190617-0121-e91.fits,58652.463812,0.999986
51,tfn0m410-kb23-20190624-0189-e91.fits,58659.556014,0.983151
52,tfn0m410-kb23-20190624-0190-e91.fits,58659.556757,0.982840
53,tfn0m410-kb23-20190624-0191-e91.fits,58659.557503,0.981752
54,tfn0m410-kb23-20190624-0192-e91.fits,58659.558245,0.983007
55,tfn0m410-kb23-20190624-0193-e91.fits,58659.558989,0.984182
56,tfn0m410-kb23-20190624-0194-e91.fits,58659.559735,0.978158
57,tfn0m410-kb23-20190624-0195-e91.fits,58659.560479,0.985038
58,tfn0m410-kb23-20190624-0196-e91.fits,58659.561223,0.973158
59,tfn0m410-kb23-20190624-0197-e91.fits,58659.561965,0.974719
60,tfn0m410-kb23-20190624-0198-e91.fits,58659.562715,0.975607
61,tfn0m410-kb23-20190708-0057-e91.fits,58673.399643,0.986869
62,tfn0m410-kb23-20190708-0058-e91.fits,58673.400426,0.994795
63,tfn0m410-kb23-20190708-0059-e91.fits,58673.401170,0.997788
64,tfn0m410-kb23-20190708-0060-e91.fits,58673.401917,0.998287
65,tfn0m410-kb23-20190708-0061-e91.fits,58673.402662,1.007244
66,tfn0m410-kb23-20190708-0062-e91.fits,58673.403405,0.999429
67,tfn0m410-kb23-20190708-0063-e91.fits,58673.404149,1.002435
68,tfn0m410-kb23-20190708-0064-e91.fits,58673.404893,0.999408
69,tfn0m410-kb23-20190708-0065-e91.fits,58673.405638,0.990819
70,tfn0m410-kb23-20190708-0066-e91.fits,58673.406382,0.988877
71,tfn0m410-kb23-20190722-0066-e91.fits,58687.382467,1.003136
72,tfn0m410-kb23-20190722-0067-e91.fits,58687.383214,0.999723
73,tfn0m410-kb23-20190722-0068-e91.fits,58687.383958,1.001572
74,tfn0m410-kb23-20190722-0069-e91.fits,58687.384703,1.004246
75,tfn0m410-kb23-20190722-0070-e91.fits,58687.385448,0.995552
76,tfn0m410-kb23-20190722-0071-e91.fits,58687.386193,1.006048
77,tfn0m410-kb23-20190722-0072-e91.fits,58687.386939,0.998708
78,tfn0m410-kb23-20190722-0073-e91.fits,58687.387683,0.999717
79,tfn0m410-kb23-20190722-0074-e91.fits,58687.388449,0.999317
80,tfn0m410-kb23-20190722-0075-e91.fits,58687.389192,1.002419
