Num,Label,JD-2400000,rel_flux_T1_n
1,tfn0m414-kb25-20190420-0192-e91.fits,58594.615345,1.000530
2,tfn0m414-kb25-20190420-0193-e91.fits,58594.616086,0.997802
3,tfn0m414-kb25-20190420-0194-e91.fits,58594.616824,0.995207
4,tfn0m414-kb25-20190420-0195-e91.fits,58594.617561,1.004945
5,tfn0m414-kb25-20190420-0196-e91.fits,58594.618303,0.997749
6,tfn0m414-kb25-20190420-0197-e91.fits,58594.619050,0.991996
7,tfn0m414-kb25-20190420-0198-e91.fits,58594.619791,0.998845
8,tfn0m414-kb25-20190420-0199-e91.fits,58594.620529,0.989712
9,tfn0m414-kb25-20190420-0200-e91.fits,58594.621267,1.001781
10,tfn0m414-kb25-20190420-0201-e91.fits,58594.622008,0.994356
11,tfn0m414-kb25-20190428-0198-e91.fits,58602.593528,1.007777
12,tfn0m414-kb25-20190428-0199-e91.fits,58602.594274,1.002564
13,tfn0m414-kb25-20190428-0200-e91.fits,58602.595010,1.004508
14,tfn0m414-kb25-20190428-0201-e91.fits,58602.595740,0.999159
15,tfn0m414-kb25-20190428-0202-e91.fits,58602.596476,1.001491
16,tfn0m414-kb25-20190428-0203-e91.fits,58602.597214,1.002857
17,tfn0m414-kb25-20190428-0204-e91.fits,58602.597948,0.998709
18,tfn0m414-kb25-20190428-0205-e91.fits,58602.598681,1.001752
19,tfn0m414-kb25-20190428-0206-e91.fits,58602.599416,1.002076
20,tfn0m414-kb25-20190428-0207-e91.fits,58602.600161,0.997403
21,tfn0m414-kb25-20190506-0161-e91.fits,58610.571650,1.012280
22,tfn0m414-kb25-20190506-0162-e91.fits,58610.572390,0.999708
23,tfn0m414-kb25-20190506-0163-e91.fits,58610.573127,0.995604
24,tfn0m414-kb25-20190506-0164-e91.fits,58610.573865,1.001246
25,tfn0m414-kb25-20190506-0165-e91.fits,58610.574602,1.000919
26,tfn0m414-kb25-20190506-0166-e91.fits,58610.575338,0.999350
27,tfn0m414-kb25-20190506-0167-e91.fits,58610.576070,0.998090
28,tfn0m414-kb25-20190506-0168-e91.fits,58610.576808,1.005341
29,tfn0m414-kb25-20190506-0169-e91.fits,58610.577542,1.003675
30,tfn0m414-kb25-20190506-0170-e91.fits,58610.578276,0.999699
31,tfn0m414-kb25-20190527-0163-e91.fits,58631.514350,1.005501
32,tfn0m414-kb25-20190527-0164-e91.fits,58631.515089,0.991458
33,tfn0m414-kb25-20190527-0165-e91.fits,58631.515824,0.997380
34,tfn0m414-kb25-20190527-0166-e91.fits,58631.516557,0.996018
35,tfn0m414-kb25-20190527-0167-e91.fits,58631.517292,0.999630
36,tfn0m414-kb25-20190527-0168-e91.fits,58631.518062,1.002287
37,tfn0m414-kb25-20190527-0169-e91.fits,58631.518796,0.997028
38,tfn0m414-kb25-20190527-0170-e91.fits,58631.519529,1.003493
39,tfn0m414-kb25-20190527-0171-e91.fits,58631.520269,1.004126
40,tfn0m414-kb25-20190527-0172-e91.fits,58631.521003,1.002019
41,tfn0m414-kb25-20190603-0123-e91.fits,58638.495231,1.002003
42,tfn0m414-kb25-20190603-0124-e91.fits,58638.495979,1.000187
43,tfn0m414-kb25-20190603-0125-e91.fits,58638.496712,1.006458
44,tfn0m414-kb25-20190603-0126-e91.fits,58638.497445,0.994748
45,tfn0m414-kb25-20190603-0127-e91.fits,58638.498192,0.996807
46,tfn0m414-kb25-20190603-0128-e91.fits,58638.498924,0.997091
47,tfn0m414-kb25-20190603-0129-e91.fits,58638.499661,0.996156
48,tfn0m414-kb25-20190603-0130-e91.fits,58638.500394,1.000297
49,tfn0m414-kb25-20190603-0131-e91.fits,58638.501128,0.992907
50,tfn0m414-kb25-20190603-0132-e91.fits,58638.501863,1.003415
