ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle,ROWID,
301.5643777,44.4568333,0.0328,0.0292,0.0023,10.428,0.016,69.4,1.079e+00,10.422,0.018,61.1,1.157e+00,1,0,0000,AA,10,56792.10391289,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.212011,195.680899,94,
301.5644024,44.4568453,0.0343,0.0282,0.0019,10.417,0.015,73.6,8.181e-01,10.425,0.019,58.6,8.244e-01,1,0,0000,AA,10,56792.23558027,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.161034,177.805290,34,
301.5643516,44.4568536,0.0316,0.0294,-0.0089,10.409,0.015,72.1,1.427e+00,10.441,0.017,62.7,6.045e-01,1,0,0000,AA,10,56792.36712032,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.180663,223.503775,60,
301.5643552,44.4568244,0.0333,0.0275,-0.0066,10.406,0.015,74.6,8.232e-01,10.426,0.017,63.8,9.826e-01,1,0,0000,AA,10,56792.43295399,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.262715,205.987312,132,
301.5643298,44.4568499,0.0329,0.0284,-0.0075,10.395,0.014,76.9,1.601e+00,10.422,0.019,56.4,3.672e-01,1,0,gg00,AA,10,56792.49878765,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.231031,231.330292,109,
301.5643706,44.4568321,0.0306,0.0272,0.0093,10.411,0.015,73.6,4.083e+00,10.425,0.016,65.8,7.657e-01,1,0,0000,AA,10,56792.56461418,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.221703,199.922374,103,
301.5643564,44.4568596,0.0332,0.0306,-0.0029,10.401,0.017,64.1,1.277e+00,10.431,0.018,61.9,6.928e-01,1,0,0000,AA,10,56792.63032043,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.156602,225.671202,30,
301.5643402,44.4568485,0.0325,0.0291,-0.0028,10.409,0.014,75.9,3.162e+01,10.521,0.018,59.7,1.144e+01,1,0,0000,AA,0,56792.69615405,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.214315,225.805744,96,
301.5643644,44.4568482,0.0327,0.0296,-0.0045,10.409,0.015,71.6,8.932e-01,10.411,0.018,59.3,9.844e-01,1,0,g000,AA,10,56792.76198772,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.176109,211.295703,56,
301.5643564,44.4568285,0.0325,0.0290,0.0098,10.408,0.015,71.3,1.168e+00,10.427,0.018,60.7,1.011e+00,1,0,0000,AA,10,56792.82782133,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.248124,206.840702,124,
301.5643946,44.4568401,0.0327,0.0343,-0.0037,10.383,0.019,58.1,2.910e+00,10.427,0.017,63.4,1.750e+00,1,0,0000,AA,10,56792.89352758,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.180166,184.416901,59,
301.5643570,44.4568660,0.0361,0.0344,-0.0094,10.415,0.020,54.8,1.366e+00,10.454,0.020,53.7,1.296e+00,1,0,0000,AA,10,56792.89365495,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.140278,231.976335,14,
301.5643558,44.4568456,0.0338,0.0321,-0.0084,10.403,0.016,67.1,7.695e-01,10.414,0.018,59.1,9.634e-01,1,0,0000,AA,10,56792.95936125,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.196084,215.396196,77,
301.5643844,44.4568398,0.0329,0.0320,-0.0111,10.416,0.016,66.2,1.471e+00,10.449,0.020,55.6,8.616e-01,1,0,0000,AA,10,56793.02519486,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.185105,192.506384,67,
301.5643648,44.4568507,0.0334,0.0296,-0.0091,10.425,0.015,70.4,1.378e+00,10.445,0.018,59.5,1.208e+00,1,0,gg00,AA,10,56793.09102853,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.167926,212.591301,47,
301.5643369,44.4568507,0.0336,0.0316,-0.0070,10.409,0.017,65.0,1.486e+00,10.458,0.020,55.4,1.580e+00,1,0,0000,AA,10,56793.15686272,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.215195,228.893058,100,
301.5643875,44.4568416,0.0320,0.0338,0.0077,10.424,0.018,61.1,4.035e+00,10.450,0.018,60.3,1.066e+00,1,0,0000,AA,10,56793.22256892,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.177178,190.444847,57,
301.5643608,44.4568443,0.0315,0.0302,-0.0108,10.430,0.016,70.0,1.939e+00,10.456,0.017,62.3,1.162e+00,1,0,0000,AA,10,56793.28840259,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.192903,211.477311,72,
301.5643537,44.4568286,0.0333,0.0302,-0.0025,10.457,0.017,62.3,3.111e+00,10.446,0.017,63.1,1.544e+00,1,0,g000,AA,10,56793.35423620,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.251020,208.290920,127,
301.5643689,44.4568547,0.0327,0.0314,-0.0068,10.430,0.017,62.1,1.827e+00,10.421,0.018,59.1,1.790e+00,1,0,0000,AA,10,56793.42006983,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.150134,212.163845,25,
301.5643709,44.4568462,0.0378,0.0359,0.0020,10.470,0.019,56.2,1.776e+00,10.443,0.020,55.5,1.241e+00,1,0,0000,AA,10,56793.48577612,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.174519,205.371361,54,
301.5643526,44.4568426,0.0371,0.0337,-0.0111,10.408,0.019,57.8,1.749e+00,10.479,0.021,52.1,2.509e+00,1,0,0000,AA,10,56793.48590344,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.209658,215.518424,92,
301.5643865,44.4568605,0.0356,0.0298,-0.0067,10.415,0.016,67.8,2.550e+00,10.455,0.020,55.1,1.826e+00,1,0,0000,AA,10,56793.61744331,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.111711,198.089325,5,
301.5643646,44.4568529,0.0386,0.0322,0.0033,10.443,0.020,53.5,1.170e+00,10.449,0.019,56.1,7.696e-01,1,0,0000,AA,10,56793.74911059,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.161590,214.257656,36,
301.5643887,44.4568505,0.0299,0.0265,-0.0099,10.429,0.015,74.1,5.092e+00,10.506,0.016,68.9,4.008e+00,1,0,0000,AA,10,56793.88065051,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.145144,191.540843,20,
301.5643846,44.4568455,0.0345,0.0275,-0.0062,10.395,0.015,74.7,8.351e-01,10.418,0.018,59.9,6.697e-01,1,0,0000,AA,10,56798.35529948,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.165003,193.875183,40,
301.5643588,44.4568562,0.0347,0.0272,-0.0080,10.440,0.015,70.2,2.250e+00,10.469,0.018,59.0,1.261e+00,1,0,g000,AA,10,56798.42113309,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.161297,221.024872,35,
301.5643416,44.4568562,0.0326,0.0294,-0.0136,10.431,0.017,64.5,1.185e+00,10.428,0.019,58.4,2.011e+00,1,0,0000,AA,10,56973.57675961,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.193196,230.963135,73,
301.5643661,44.4568475,0.0356,0.0301,-0.0125,10.410,0.017,65.3,1.725e+00,10.376,0.023,47.9,1.061e+00,1,0,0000,AA,10,56973.70829978,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.176055,209.654724,55,
301.5643864,44.4568400,0.0369,0.0349,-0.0157,10.399,0.018,61.4,1.289e+00,10.427,0.019,55.9,5.369e-01,1,0,0000,AA,10,56973.83971255,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.183362,190.987156,66,
301.5643462,44.4568340,0.0355,0.0303,-0.0071,10.434,0.016,67.9,2.400e+00,10.436,0.019,56.1,1.078e+00,1,0,g000,AA,10,56973.97125272,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.244442,214.439881,121,
301.5643707,44.4568388,0.0321,0.0284,-0.0087,10.426,0.015,70.9,3.870e+00,10.435,0.019,57.6,1.565e+00,1,0,0000,AA,10,56974.03695914,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.199096,202.218580,81,
301.5643565,44.4568342,0.0319,0.0289,-0.0018,10.414,0.015,70.7,7.070e-01,10.461,0.017,62.4,1.198e+00,1,0,0000,AA,10,56974.23420571,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.229883,209.093320,108,
