ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle,
301.5643776,44.4568834,0.0345,0.0345,0.0053,10.447,0.018,60.8,4.648e+00,10.529,0.019,56.0,1.926e+00,1,0,0000,AA,10,58053.29273841,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.039719,233.288417,
301.5643867,44.4568781,0.0337,0.0319,-0.0084,10.411,0.016,68.7,8.139e+00,10.431,0.019,55.8,1.144e+00,1,0,0000,AA,5,58252.86806909,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.043684,191.196308,
301.5643658,44.4568740,0.0336,0.0335,-0.0127,10.373,0.017,62.3,8.461e+00,10.455,0.019,57.5,1.739e+00,1,0,0000,AA,5,57334.02796839,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.084789,227.191729,
301.5643722,44.4568676,0.0375,0.0319,-0.0069,10.414,0.017,64.6,3.050e+00,10.425,0.021,51.0,1.494e+00,1,0,g000,AA,5,57522.10671831,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.092718,209.561844,
301.5643627,44.4568729,0.0342,0.0302,-0.0079,10.427,0.015,70.4,8.923e-01,10.439,0.019,58.3,8.949e-01,1,0,0000,AA,10,56974.49715920,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.093328,228.731531,
301.5643573,44.4568764,0.0348,0.0347,-0.0070,10.458,0.017,63.5,6.048e+00,10.475,0.020,55.5,1.182e+00,1,0,0000,AA,10,58252.80261737,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.097244,239.771623,
301.5643698,44.4568667,0.0340,0.0338,0.0038,10.431,0.018,59.9,1.371e+00,10.439,0.020,54.8,1.457e+00,1,0,0000,AA,10,56974.36574645,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.098642,211.749711,
301.5643536,44.4568989,0.0359,0.0363,-0.0067,10.432,0.019,55.9,1.725e+01,10.494,0.019,57.9,6.376e+00,1,0,0000,AA,5,58417.03876171,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.098882,288.908980,
301.5643679,44.4568671,0.0366,0.0325,-0.0080,10.412,0.017,62.3,7.347e+00,10.425,0.020,55.7,3.347e+00,1,0,0000,AA,0,58056.56596146,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.100116,214.560722,
301.5643847,44.4568619,0.0339,0.0308,-0.0086,10.447,0.016,68.0,1.224e+00,10.442,0.018,58.9,7.929e-01,1,0,0000,AA,10,57333.56891427,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.102078,187.667467,
301.5644288,44.4568978,0.0376,0.0312,0.0094,10.468,0.017,64.1,4.678e+00,10.424,0.020,55.0,1.272e+00,1,0,gg00,AA,10,57157.57031598,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.103594,74.270449,
301.5643716,44.4568639,0.0324,0.0324,-0.0058,10.425,0.017,65.6,1.288e+00,10.419,0.020,53.8,1.361e+00,1,0,0000,AA,10,57157.70160130,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.105178,206.711531,
301.5643865,44.4568605,0.0356,0.0298,-0.0067,10.415,0.016,67.8,2.550e+00,10.455,0.020,55.1,1.826e+00,1,0,0000,AA,10,56793.61744331,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.106561,184.840574,
301.5643768,44.4568615,0.0354,0.0322,-0.0101,10.415,0.017,65.2,1.379e+00,10.424,0.020,54.6,9.662e-01,1,0,g000,AA,10,57521.51701601,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.108057,198.293468,
