
ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
301.5643607,44.4568387,0.0363,0.0302,-0.0065,10.431,0.016,69.1,1.728e+00,10.432,0.019,56.1,1.279e+00,1,0,0000,AA,10,58057.08970247,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.210490,208.670396
301.5643459,44.4568365,0.0345,0.0296,0.0028,10.413,0.015,70.9,5.420e+00,10.435,0.020,54.5,2.279e+00,1,0,0000,AA,5,58056.95879907,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.237523,215.821127
301.5643634,44.4568532,0.0346,0.0303,0.0054,10.432,0.018,61.4,1.694e+00,10.394,0.020,54.8,1.357e+00,1,0,0000,AA,10,58056.82789563,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.162464,215.370902
301.5643168,44.4567945,0.0442,0.0384,0.0134,10.408,0.024,44.5,5.766e+00,10.416,0.019,56.6,4.041e+00,1,0,0000,AA,0,58056.76244392,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.404851,211.875302
301.5643828,44.4568352,0.0342,0.0314,0.0020,10.446,0.020,55.3,3.111e+00,10.450,0.019,58.0,1.502e+00,1,0,0000,AA,10,58056.69699222,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.202180,192.627616
301.5643704,44.4568600,0.0345,0.0346,-0.0083,10.411,0.018,59.3,3.874e+00,10.457,0.019,57.1,1.395e+00,1,0,0000,AA,10,58056.69686486,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.132093,215.155544
301.5643398,44.4568468,0.0333,0.0305,-0.0079,10.426,0.016,66.0,2.061e+00,10.460,0.017,63.4,1.290e+00,1,0,0000,AA,10,58056.63141316,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.219347,224.846710
301.5643679,44.4568671,0.0366,0.0325,-0.0080,10.412,0.017,62.3,7.347e+00,10.425,0.020,55.7,3.347e+00,1,0,0000,AA,0,58056.56596146,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.116634,225.015352
301.5643056,44.4568466,0.0368,0.0321,-0.0018,10.434,0.015,70.4,1.207e+00,10.452,0.022,49.1,5.961e-01,1,0,0000,AA,10,58056.50050980,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.288541,237.214367
301.5643286,44.4568314,0.0334,0.0311,-0.0037,10.419,0.016,68.1,1.593e+00,10.454,0.019,58.0,1.435e+00,1,0,0000,AA,10,58056.43505806,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.279578,221.013135
301.5643937,44.4568281,0.0358,0.0310,-0.0030,10.433,0.015,70.7,1.007e+01,10.432,0.020,53.8,2.738e+00,1,0,0000,AA,0,58056.36960631,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.223422,184.155025
301.5643311,44.4568339,0.0356,0.0332,-0.0091,10.431,0.017,62.6,1.715e+00,10.435,0.021,51.0,1.279e+00,1,0,g000,AA,10,58056.30415461,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.268583,221.239008
301.5643686,44.4568585,0.0361,0.0296,0.0070,10.411,0.016,67.0,1.365e+00,10.447,0.018,61.2,1.340e+00,1,0,0000,AA,5,58056.23870286,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.139162,215.432313
301.5643425,44.4568308,0.0409,0.0360,-0.0135,10.442,0.021,50.6,2.300e+00,10.413,0.021,50.8,1.199e+00,1,0,0000,AA,10,58056.04234775,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.259331,214.732854
301.5643560,44.4568484,0.0400,0.0391,0.0123,10.418,0.021,52.3,1.835e+00,10.413,0.022,49.4,1.179e+00,1,0,0000,AA,10,58056.04222044,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.187640,217.051264
301.5643105,44.4568421,0.0379,0.0368,-0.0075,10.409,0.022,49.8,6.995e+00,10.487,0.020,53.5,6.483e+00,1,0,0000,AA,5,58055.97689605,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.287442,233.137219
301.5643104,44.4568287,0.0329,0.0381,0.0136,10.433,0.019,56.1,7.490e+00,10.443,0.018,61.3,2.822e+00,1,0,0000,AA,5,58055.97676869,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.318913,226.214114
